,Date/Time,Lat,Lon,Base
798284,05/11/2014 22:41,40.742,-74.0043,B02598
798285,05/11/2014 22:41,40.7661,-73.9871,B02598
798286,05/11/2014 22:41,40.774,-73.872,B02617
798287,05/11/2014 22:42,40.6888,-73.9512,B02617
798288,05/11/2014 22:42,40.7401,-74.006,B02682
798289,05/11/2014 22:42,40.7401,-74.006,B02682
798290,05/11/2014 22:42,41.057,-73.611,B02598
798291,05/11/2014 22:43,40.688,-74.183,B02512
798292,05/11/2014 22:43,40.6938,-73.9156,B02598
798293,05/11/2014 22:43,40.7206,-73.9853,B02598
798294,05/11/2014 22:43,40.7229,-73.9978,B02617
798295,05/11/2014 22:43,40.7229,-73.9978,B02617
798296,05/11/2014 22:43,40.7457,-73.9897,B02598
798297,05/11/2014 22:43,40.7897,-73.9756,B02598
798298,05/11/2014 22:43,40.8044,-73.9667,B02617
798299,05/11/2014 22:44,40.6442,-73.7824,B02682
798300,05/11/2014 22:44,40.6866,-73.9818,B02682
798301,05/11/2014 22:44,40.7062,-74.0178,B02617
798302,05/11/2014 22:44,40.7102,-74.0149,B02617
798303,05/11/2014 22:44,40.7194,-74.0086,B02682
798304,05/11/2014 22:44,40.7318,-74.0033,B02682
798305,05/11/2014 22:44,40.7403,-74.0061,B02598
798306,05/11/2014 22:44,40.7578,-73.7952,B02598
798307,05/11/2014 22:44,40.7962,-73.9252,B02512
798308,05/11/2014 22:45,40.729,-73.9923,B02598
798309,05/11/2014 22:45,40.7739,-73.8717,B02682
798310,05/11/2014 22:46,40.6925,-73.9863,B02682
798311,05/11/2014 22:46,40.7275,-74.0009,B02682
798312,05/11/2014 22:46,40.7318,-74.0012,B02598
798313,05/11/2014 22:46,40.7434,-74.0074,B02617
798314,05/11/2014 22:46,40.7584,-73.9865,B02682
798315,05/11/2014 22:47,40.6557,-73.7278,B02617
798316,05/11/2014 22:47,40.711,-74.0144,B02598
798317,05/11/2014 22:47,40.7324,-74.0035,B02598
798318,05/11/2014 22:47,40.7343,-74.0062,B02617
798319,05/11/2014 22:47,40.7739,-73.8727,B02598
798320,05/11/2014 22:47,40.774,-73.8721,B02598
798321,05/11/2014 22:48,40.6889,-73.9889,B02682
798322,05/11/2014 22:48,40.6901,-73.9634,B02598
798323,05/11/2014 22:48,40.6923,-73.9912,B02598
798324,05/11/2014 22:48,40.7104,-73.819,B02598
798325,05/11/2014 22:48,40.717,-73.9499,B02598
798326,05/11/2014 22:48,40.7417,-74.0044,B02598
798327,05/11/2014 22:48,40.7429,-73.952,B02682
798328,05/11/2014 22:48,40.7504,-73.9914,B02598
798329,05/11/2014 22:48,40.7569,-73.9887,B02598
798330,05/11/2014 22:48,40.7741,-73.8722,B02682
798331,05/11/2014 22:48,40.7773,-73.9889,B02682
798332,05/11/2014 22:48,40.8065,-73.9422,B02598
798333,05/11/2014 22:49,40.6462,-73.7806,B02598
798334,05/11/2014 22:49,40.6467,-73.79,B02598
798335,05/11/2014 22:49,40.7026,-73.9268,B02598
798336,05/11/2014 22:49,40.7075,-74.0053,B02598
798337,05/11/2014 22:49,40.7195,-73.9933,B02598
798338,05/11/2014 22:49,40.7279,-74.0016,B02682
798339,05/11/2014 22:49,40.7293,-73.9896,B02617
798340,05/11/2014 22:50,40.6616,-73.9863,B02617
798341,05/11/2014 22:50,40.6959,-73.9939,B02598
798342,05/11/2014 22:50,40.7101,-73.9641,B02682
798343,05/11/2014 22:50,40.7166,-73.9901,B02598
798344,05/11/2014 22:50,40.7325,-73.9992,B02682
798345,05/11/2014 22:50,40.7482,-73.8879,B02682
798346,05/11/2014 22:50,40.7601,-74.0003,B02617
798347,05/11/2014 22:50,40.7683,-73.9587,B02598
798348,05/11/2014 22:51,40.6765,-74.0175,B02682
798349,05/11/2014 22:51,40.6882,-73.9881,B02682
798350,05/11/2014 22:51,40.7305,-74.0013,B02617
798351,05/11/2014 22:51,40.7413,-73.9333,B02617
798352,05/11/2014 22:51,40.76,-73.9943,B02598
798353,05/11/2014 22:51,40.7709,-73.8659,B02682
798354,05/11/2014 22:51,40.7755,-73.9839,B02598
798355,05/11/2014 22:52,40.6878,-74.182,B02682
798356,05/11/2014 22:52,40.6899,-73.9713,B02617
798357,05/11/2014 22:52,40.7305,-73.9846,B02682
798358,05/11/2014 22:52,40.741,-73.9786,B02598
798359,05/11/2014 22:52,40.7484,-73.9748,B02682
798360,05/11/2014 22:53,40.6944,-73.9305,B02617
798361,05/11/2014 22:53,40.708,-74.0068,B02682
798362,05/11/2014 22:53,40.7543,-73.9887,B02682
798363,05/11/2014 22:53,40.7574,-73.99,B02598
798364,05/11/2014 22:53,40.7658,-73.9156,B02682
798365,05/11/2014 22:54,40.6518,-73.9592,B02682
798366,05/11/2014 22:54,40.715,-73.9518,B02682
798367,05/11/2014 22:54,40.721,-73.9567,B02617
798368,05/11/2014 22:54,40.7335,-74.003,B02598
798369,05/11/2014 22:54,40.7436,-73.9197,B02617
798370,05/11/2014 22:54,40.7532,-73.9697,B02682
798371,05/11/2014 22:54,40.7741,-73.872,B02598
798372,05/11/2014 22:55,40.6915,-73.944,B02598
798373,05/11/2014 22:55,40.7388,-73.9885,B02617
798374,05/11/2014 22:55,40.7555,-73.9752,B02598
798375,05/11/2014 22:55,40.7656,-73.9806,B02598
798376,05/11/2014 22:55,40.7916,-73.9745,B02598
798377,05/11/2014 22:55,40.797,-73.9338,B02682
798378,05/11/2014 22:56,40.6467,-73.7898,B02682
798379,05/11/2014 22:56,40.7302,-74.0048,B02598
798380,05/11/2014 22:56,40.7694,-73.9933,B02617
798381,05/11/2014 22:56,40.7741,-73.8719,B02598
798382,05/11/2014 22:57,40.6945,-73.9691,B02598
798383,05/11/2014 22:57,40.7263,-73.9562,B02617
798384,05/11/2014 22:57,40.7559,-73.9728,B02617
798385,05/11/2014 22:57,40.7571,-73.9976,B02682
798386,05/11/2014 22:57,40.7615,-73.9862,B02682
798387,05/11/2014 22:57,40.7661,-73.9826,B02764
798388,05/11/2014 22:57,40.7741,-73.872,B02682
798389,05/11/2014 22:57,40.8336,-73.9398,B02682
798390,05/11/2014 22:58,40.673,-73.9335,B02617
798391,05/11/2014 22:58,40.7236,-74.0108,B02682
798392,05/11/2014 22:58,40.7356,-74.0073,B02617
798393,05/11/2014 22:58,40.7384,-73.9878,B02598
798394,05/11/2014 22:58,40.747,-73.9907,B02512
798395,05/11/2014 22:58,40.774,-73.8719,B02598
798396,05/11/2014 22:59,40.6448,-73.7823,B02598
798397,05/11/2014 22:59,40.674,-73.9804,B02682
798398,05/11/2014 22:59,40.7232,-73.9515,B02617
798399,05/11/2014 22:59,40.7271,-74.0056,B02682
798400,05/11/2014 22:59,40.7523,-73.9682,B02682
798401,05/11/2014 22:59,40.7529,-73.97,B02617
798402,05/11/2014 22:59,40.7628,-73.9714,B02598
798403,05/11/2014 23:00,40.7468,-73.9566,B02617
798404,05/11/2014 23:00,40.7618,-73.9753,B02682
798405,05/11/2014 23:01,40.6462,-73.7905,B02682
798406,05/11/2014 23:01,40.7006,-73.9205,B02598
798407,05/11/2014 23:01,40.7142,-74.0063,B02682
798408,05/11/2014 23:01,40.7222,-73.9919,B02598
798409,05/11/2014 23:01,40.7244,-73.9935,B02682
798410,05/11/2014 23:01,40.727,-74.0002,B02598
798411,05/11/2014 23:01,40.8244,-73.9397,B02598
798412,05/11/2014 23:02,40.6463,-73.7899,B02512
798413,05/11/2014 23:02,40.6877,-74.1817,B02598
798414,05/11/2014 23:02,40.7014,-73.9221,B02617
798415,05/11/2014 23:02,40.7099,-74.0048,B02682
798416,05/11/2014 23:02,40.7711,-73.8662,B02598
798417,05/11/2014 23:02,40.8163,-73.9578,B02598
798418,05/11/2014 23:03,40.6401,-74.0186,B02598
798419,05/11/2014 23:03,40.7223,-73.9917,B02598
798420,05/11/2014 23:03,40.7237,-73.9467,B02598
